Sender,Subject,Date,Type
GoAir <seats@e.gogroup.co.in>,"Fly to more destinations with fares as low as Rs. 1,314*","Mon, 28 May 2018 13:53:38 +0530",CATEGORY_PROMOTIONS
ShopClues <info@offers.shopcluesmail.com>,HURRY UP! It’s Going Away,"Mon, 28 May 2018 08:41:10 -0000",CATEGORY_PROMOTIONS
Monster Jobs <jobmessenger@monsterindia.com>,"Lakshay, Top matching jobs for Software Engineer/ Programmer, Fresher",28 May 2018 08:10:51 -0000,CATEGORY_PROMOTIONS
"""cure.fit"" <marketing@curefit.com>",Your favourite meals with a healthy twist!,"Mon, 28 May 2018 06:22:11 +0000",CATEGORY_PROMOTIONS
Pankaj Kumar <newsletter@journaldev.com>,{Only 16 Hours} - Udemy Courses at $9.99/INR 640 Only,"Mon, 28 May 2018 06:10:45 +0000",CATEGORY_PROMOTIONS
"""Axis Saving A/c"" <newsletters@shopatbest.com>","Hi Dear, Follow Just these 3 steps","Mon, 28 May 2018 10:46:07 +0530",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Clothes and accessories from top brands | Amazon global store,"Mon, 28 May 2018 00:10:59 +0000",CATEGORY_PROMOTIONS
Paytm <mail@info.paytm.com>,Switch the Light ON & get 50 Rs. Cashback,"Sun, 27 May 2018 15:14:11 +0000 (UTC)",CATEGORY_PROMOTIONS
Udacity India <india@udacity.com>,Machine Learning Nanodegree Program - enrollment ends today!,"Sun, 27 May 2018 12:29:29 +0000 (UTC)",CATEGORY_PROMOTIONS
"""cure.fit"" <marketing@curefit.com>","It's Sunday! Kick back, relax and order in some sumptuous meals!","Sun, 27 May 2018 06:21:30 +0000",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Up to 60% off | Kitchen & Dining,"Sun, 27 May 2018 00:06:19 +0000",CATEGORY_PROMOTIONS
EBOOKLOVERS <mail@ebooklovers.com>,Free & Cheap Ebooks! - May 26 - 2018,"Sat, 26 May 2018 21:59:14 +0000",CATEGORY_PROMOTIONS
Swiggy <Social@swiggy.in>,A dose of heaven for Rs.257!,"Sat, 26 May 2018 12:36:23 +0000 (UTC)",CATEGORY_PROMOTIONS
Nisha Pal <newsletters@shopatbest.com>,Last few days Remaining of Clearance Sale,"Sat, 26 May 2018 15:42:34 +0530",CATEGORY_PROMOTIONS
ShopClues <info@offers.shopcluesmail.com>,New Offers Unlocked! Grab Now,"Sat, 26 May 2018 10:07:08 -0000",CATEGORY_PROMOTIONS
SpiceJet <spicejet@web-spicejet.com>,"Now fly for free with SpiceJet. Hurry, book now!","Sat, 26 May 2018 14:12:12 +0530",CATEGORY_PROMOTIONS
GoAir <seats@e.gogroup.co.in>,Appiness is just a click away – Get ₹500* off on weekends,"Sat, 26 May 2018 10:33:24 +0530",CATEGORY_PROMOTIONS
Kavya Jain <newsletters@shopatbest.com>,Shine and Sparkle Like a Celebrity,"Sat, 26 May 2018 12:18:48 +0530",CATEGORY_PROMOTIONS
Monster Jobs <jobmessenger@monsterindia.com>,"Lakshay, Top matching jobs for Software Engineer/ Programmer, Fresher",26 May 2018 06:54:28 -0000,CATEGORY_PROMOTIONS
Prime Video <no-reply@primevideo.com>,"Lakshay Bhambri, recently added on Prime Video","Sat, 26 May 2018 06:34:01 +0000",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",International brands | Amazon Global Store,"Sat, 26 May 2018 00:15:22 +0000",CATEGORY_PROMOTIONS
AngelList Talent <newsletters@angel.co>,#1 in the App Store right now 🧐,"Fri, 25 May 2018 23:02:10 +0000 (UTC)",CATEGORY_PROMOTIONS
Udacity India <india@udacity.com>,[NEW] Qualify for one of the fastest growing jobs today with our Data Scientist Nanodegree program,"Fri, 25 May 2018 14:11:24 +0000 (UTC)",CATEGORY_PROMOTIONS
Paytm <mail@info.paytm.com>,Switch the Light ON & get 50 Rs. Cashback,"Fri, 25 May 2018 13:50:59 +0000 (UTC)",CATEGORY_PROMOTIONS
Codecademy <newsletter@codecademy.com>,How to Hack Hacker News,"Fri, 25 May 2018 12:12:46 +0000 (UTC)",CATEGORY_PROMOTIONS
IIFL Securities <newsletters@shopatbest.com>,Open a Free Demat Account in just 5 minutes,"Fri, 25 May 2018 15:30:27 +0530",CATEGORY_PROMOTIONS
HP India <crm-ccm.ap-ipg@newsgram.hp.com>,5% discount on all New Pavilion x360 range from HP,"Fri, 25 May 2018 02:26:26 -0600",CATEGORY_PROMOTIONS
GoAir <seats@e.gogroup.co.in>,Pre-book our fest menu this Ramzan at Rs. 350,"Fri, 25 May 2018 12:20:45 +0530",CATEGORY_PROMOTIONS
League Adda <newsletters@shopatbest.com>,Fantasy Cricket with Quick Cash Withdrawals,"Fri, 25 May 2018 11:50:50 +0530",CATEGORY_PROMOTIONS
Airtel Broadband <newsletters@shopatbest.com>,Enjoy upto 40 mbps Speed,"Fri, 25 May 2018 11:51:27 +0530",CATEGORY_PROMOTIONS
Shrenik Kuwad <sk@dscongress.co.in>,Upgrade your pass with Explorer Plus ,"Fri, 25 May 2018 06:18:12 +0000",CATEGORY_PROMOTIONS
"""cure.fit"" <marketing@curefit.com>",Friday couldn't come any sooner! Enjoy delicious meals from Eat.fit today!,"Fri, 25 May 2018 05:59:42 +0000",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>","RealMe 1, OnePlus 6, Galaxy A6 | A6+, Moto G6 & more","Fri, 25 May 2018 04:49:42 +0000",CATEGORY_PROMOTIONS
GoAir <seats@e.gogroup.co.in>,Get ₹200 off* on your first flight with GoSME.,"Thu, 24 May 2018 20:05:35 +0530",CATEGORY_PROMOTIONS
Swiggy <Social@swiggy.in>,Finish strong with this offer,"Thu, 24 May 2018 13:55:10 +0000 (UTC)",CATEGORY_PROMOTIONS
Moqups <noreply@moqups.com>,Updates to Moqups’ Privacy Policy in accordance with the GDPR regulations,"Thu, 24 May 2018 12:47:56 +0000",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>","Samsung Galaxy A6, A6+ | Rs.3,000 cashback* on ICICI Bank Credit Card EMI","Thu, 24 May 2018 10:32:53 +0000",CATEGORY_PROMOTIONS
One Plus 6 <newsletters@shopatbest.com>,Last Day Sale with Great Discount,"Thu, 24 May 2018 15:48:27 +0530",CATEGORY_PROMOTIONS
"""cure.fit"" <marketing@curefit.com>",Power your day with eat.fit 🍛,"Thu, 24 May 2018 06:27:44 +0000",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>","OnePlus 6, Realme 1, Huawei P20, Vivo V9","Thu, 24 May 2018 04:33:47 +0000",CATEGORY_PROMOTIONS
Monster Jobs <jobmessenger@monsterindia.com>,"Lakshay, Top matching jobs for Software Engineer/ Programmer, Fresher",24 May 2018 04:01:43 -0000,CATEGORY_PROMOTIONS
Apress <apress@newsletter.springer.com>,Privacy Policy Updates,"Thu, 24 May 2018 03:41:53 +0000",CATEGORY_PROMOTIONS
Latest Movies <newsletters@shopatbest.com>,"Pari, Padmaavat, Spiderman and more on Amazon Prime","Wed, 23 May 2018 18:09:46 +0530",CATEGORY_PROMOTIONS
Shrenik Kuwad <sk@dscongress.co.in>,"Meet the best brains in data science, big data, AI, ML from 29 Mat to 1 June","Wed, 23 May 2018 12:25:38 +0000",CATEGORY_PROMOTIONS
One Plus 6 <newsletters@shopatbest.com>,"Hey Dear, 2000/- cashback on One Plus 6","Wed, 23 May 2018 16:57:33 +0530",CATEGORY_PROMOTIONS
Paytm <mail@info.paytm.com>,"Look No Further, Laptop Fest Has the Best Deals!","Wed, 23 May 2018 10:43:18 +0000 (UTC)",CATEGORY_PROMOTIONS
SpiceJet <spicejet@web-spicejet.com>,Wishing you a Happy 13th birthday!,"Wed, 23 May 2018 16:13:01 +0530",CATEGORY_PROMOTIONS
GoAir <seats@e.gogroup.co.in>,"#LowFareWednesday is here, fares starting at Rs. 1610*!","Wed, 23 May 2018 12:07:00 +0530",CATEGORY_PROMOTIONS
Curefit <marketing@curefit.com>,Celebrate Health & Taste with sumptuous meals from Eat.fit!,"Wed, 23 May 2018 05:01:06 +0000",CATEGORY_PROMOTIONS
Oracle University <replies@oracle-mail.com>,New Cloud Training and Certifications,22 May 2018 21:02:11 -0400,CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Care 4 TM emergency fan Rechargeable...,"Wed, 23 May 2018 00:15:16 +0000",CATEGORY_PROMOTIONS
The Postman Team <thepostmanteam@getpostman.com>,May News & Updates from Postman,"Tue, 22 May 2018 17:30:12 -0500 (CDT)",CATEGORY_PROMOTIONS
Pankaj Kumar <newsletter@journaldev.com>,[Final Call] - Let's stay connected by being GDPR compliant,"Tue, 22 May 2018 17:12:00 +0000",CATEGORY_PROMOTIONS
Goomo <teamgoomo@email.goomooffers.com>,"Enjoy 6N/7D in Ladakh at Rs. 35,999 only! Book your holiday today","Tue, 22 May 2018 16:30:49 +0200 (CEST)",CATEGORY_PROMOTIONS
Udacity India <india@udacity.com>,[ENDS TODAY] Build your first ever Neural network,"Tue, 22 May 2018 14:13:49 +0000 (UTC)",CATEGORY_PROMOTIONS
ShopClues <info@offers.shopcluesmail.com>,Shopping Karo Chappar Phaad ke - Upto 80% Off!,"Tue, 22 May 2018 09:23:59 -0000",CATEGORY_PROMOTIONS
GoAir <seats@e.gogroup.co.in>,Marvellous vacations with the mania of cricket,"Tue, 22 May 2018 11:58:50 +0530",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>","Lakshay Bhambri, Amazon.in wants to hear from you. Take a short survey","Tue, 22 May 2018 06:31:36 +0000",CATEGORY_PROMOTIONS
Monster Jobs <jobmessenger@monsterindia.com>,"Lakshay, Top matching jobs for Software Engineer/ Programmer, Fresher",22 May 2018 03:20:26 -0000,CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>","OnePlus 6 starting Rs.34,999 | Rs.2,000 cashback with SBI Cards","Tue, 22 May 2018 02:41:19 +0000",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Samsung On5 Pro (Gold),"Tue, 22 May 2018 00:40:39 +0000",CATEGORY_PROMOTIONS
EBOOKLOVERS <mail@ebooklovers.com>,Free & Cheap Ebooks! - May 21 - 2018,"Mon, 21 May 2018 21:59:21 +0000",CATEGORY_PROMOTIONS
EBOOKLOVERS <mail@ebooklovers.com>,Change or Privacy Policy - Terms & Conditions,"Mon, 21 May 2018 20:19:37 +0000",CATEGORY_PROMOTIONS
Udacity India <india@udacity.com>,[Last Day] 20% off on Nanodegree Programs + Free Amazon Echo Dot on graduation*,"Mon, 21 May 2018 13:40:41 +0000 (UTC)",CATEGORY_PROMOTIONS
IIBM <newsletters@shopatbest.com>,Climb Higher In Your Career,"Mon, 21 May 2018 11:40:37 +0530",CATEGORY_PROMOTIONS
Paytm <mail@info.paytm.com>,Treat the Foodie in You with Box8!,"Mon, 21 May 2018 11:51:26 +0000 (UTC)",CATEGORY_PROMOTIONS
Medlife Medicine <newsletters@shopatbest.com>,Save up to 60% on genuine Medicines,"Mon, 21 May 2018 14:57:20 +0530",CATEGORY_PROMOTIONS
GoAir <seats@e.gogroup.co.in>,Exclusive offer for Students by GoAir,"Mon, 21 May 2018 12:41:52 +0530",CATEGORY_PROMOTIONS
"""cure.fit"" <marketing@curefit.com>",Monday blues? What's that? Supercharge your day with eat.fit!,"Mon, 21 May 2018 06:28:12 +0000",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Evergreen Casuals | Up to 50% off,"Mon, 21 May 2018 00:14:11 +0000",CATEGORY_PROMOTIONS
Udacity India <india@udacity.com>,One day left - Avail 20% off & get free Amazon Echo Dot*,"Sun, 20 May 2018 10:11:28 +0000 (UTC)",CATEGORY_PROMOTIONS
ShopClues <info@offers.shopcluesmail.com>,Home Sweet Home! 40-80% Off on Everything,"Sun, 20 May 2018 06:47:33 -0000",CATEGORY_PROMOTIONS
Monster Jobs <jobmessenger@monsterindia.com>,"Lakshay, Top matching jobs for Software Engineer/ Programmer, Fresher",20 May 2018 04:10:14 -0000,CATEGORY_PROMOTIONS
Freshers Placement Test <assessment@techgig.com>,[LATEST] Check Your Knowledge With TCS Interview Quiz 2017-18,20 May 2018 08:50:20 +0530,CATEGORY_PROMOTIONS
ICICI CC <newsletters@shopatbest.com>,Apply for a Life Time Free Card,"Sun, 20 May 2018 06:35:49 +0530",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>","Lakshay Bhambri, Hot weekend deals for you!","Sun, 20 May 2018 00:07:41 +0000",CATEGORY_PROMOTIONS
EBOOKLOVERS <mail@ebooklovers.com>,Free & Cheap Ebooks! - May 19 - 2018,"Sat, 19 May 2018 21:59:18 +0000",CATEGORY_PROMOTIONS
Udacity India <india@udacity.com>,Avail 20% off on Data Scientist Foundation Nanodegree,"Sat, 19 May 2018 14:45:37 +0000 (UTC)",CATEGORY_PROMOTIONS
Paytm <mail@info.paytm.com>,Switch the Light ON & get 50 Rs. Cashback,"Sat, 19 May 2018 13:51:30 +0000 (UTC)",CATEGORY_PROMOTIONS
GoAir <seats@e.gogroup.co.in>,Appiness is just a click away – Get ₹500* off on weekends,"Sat, 19 May 2018 15:58:39 +0530",CATEGORY_PROMOTIONS
kent RO <newsletters@shopatbest.com>,"Stay Safe, Stay Healthy with Kent RO Purifiers","Sat, 19 May 2018 14:05:42 +0530",CATEGORY_PROMOTIONS
SpiceJet <spicejet@web-spicejet.com>,"Now fly for free with SpiceJet. Hurry, book now!","Sat, 19 May 2018 13:12:18 +0530",CATEGORY_PROMOTIONS
Prime Video <no-reply@primevideo.com>,"Lakshay Bhambri, recently added on Prime Video","Sat, 19 May 2018 07:13:20 +0000",CATEGORY_PROMOTIONS
Melorra Jewellery <newsletters@shopatbest.com>,A Special Gift For You,"Sat, 19 May 2018 10:47:52 +0530",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Just launched: Easy & secure payments with UPI,"Sat, 19 May 2018 00:16:19 +0000",CATEGORY_PROMOTIONS
Braineet <hello@braineet.com>,Highlights of the week,"Fri, 18 May 2018 22:50:48 +0000 (UTC)",CATEGORY_PROMOTIONS
EBOOKLOVERS <mail@ebooklovers.com>,Free & Cheap Ebooks! - May 18 - 2018,"Fri, 18 May 2018 22:05:28 +0000",CATEGORY_PROMOTIONS
GoAir <seats@e.gogroup.co.in>,"Fly to more destinations with fares as low as Rs. 1,266* with GoAir","Fri, 18 May 2018 16:48:46 +0530",CATEGORY_PROMOTIONS
Udacity India <india@udacity.com>,"[LAST DAY] Avail 20% off & Learn Python for Machine Learning, Data Science and AI","Fri, 18 May 2018 12:56:58 +0000 (UTC)",CATEGORY_PROMOTIONS
Clovia <newsletters@shopatbest.com>,"Today only offer, Four Bras + One Camisole @ 699","Fri, 18 May 2018 18:04:04 +0530",CATEGORY_PROMOTIONS
Richa Rai <newsletters@shopatbest.com>,Reach potential customers across India,"Fri, 18 May 2018 14:10:42 +0530",CATEGORY_PROMOTIONS
HP India <crm-ccm.ap-ipg@newsgram.hp.com>,Make way for new HP laptops. Upgrade Now!,"Thu, 17 May 2018 21:17:46 -0600",CATEGORY_PROMOTIONS
Monster Jobs <jobmessenger@monsterindia.com>,"Lakshay, Top matching jobs for Software Engineer/ Programmer, Fresher",18 May 2018 03:40:06 -0000,CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Day of Indulgence | Up to 20% off,"Fri, 18 May 2018 02:36:24 +0000",CATEGORY_PROMOTIONS
Salesforce Developers <email@mail.salesforce.com>,Salesforce Developer Newsletter: May 2018,"Thu, 17 May 2018 11:04:01 -0600",CATEGORY_PROMOTIONS
Swiggy <Social@swiggy.in>,Make dinner the winner,"Thu, 17 May 2018 13:41:11 +0000 (UTC)",CATEGORY_PROMOTIONS
Paytm <mail@info.paytm.com>,Switch the Light ON & get 50 Rs. Cashback,"Thu, 17 May 2018 13:49:19 +0000 (UTC)",CATEGORY_PROMOTIONS
Udacity India <india@udacity.com>,Get ready for #JobsOfTomorrow with Machine Learning - Save 20% now!,"Thu, 17 May 2018 13:35:09 +0000 (UTC)",CATEGORY_PROMOTIONS
GoAir <seats@e.gogroup.co.in>,Pre-book our fest menu this Ramzan at Rs. 350,"Thu, 17 May 2018 15:45:52 +0530",CATEGORY_PROMOTIONS
RuPay <newsletters@shopatbest.com>,"Hi Dear, One Life. One RuPay.","Thu, 17 May 2018 15:06:55 +0530",CATEGORY_PROMOTIONS
ShopClues <no-reply@mail.shopcluescrm.com>,Electronics Express Sale! Everything @ Upto 80% Off,"Thu, 17 May 2018 15:44:12 +0800",CATEGORY_PROMOTIONS
UpGrad <newsletters@shopatbest.com>,Digital Marketing certification in just three months,"Thu, 17 May 2018 11:53:44 +0530",CATEGORY_PROMOTIONS
TechGig Latest News <technews@techgig.com>,H-1B effect: More Indians explore EB-5 as H-1B route gets difficult | Walmart is on a hiring spree in India; publishes job openings for these roles,17 May 2018 11:35:51 +0530,CATEGORY_PROMOTIONS
HP India <crm-ccm.ap-ipg@newsgram.hp.com>,"Exceptional Deals on HP Desktops: Card discount, freebies and more!","Wed, 16 May 2018 21:16:54 -0600",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Last few hours of Summer Sale,"Wed, 16 May 2018 14:40:35 +0000",CATEGORY_PROMOTIONS
Udacity India <india@udacity.com>,Discover new skill sets - 20% off on Nanodegree Programs,"Wed, 16 May 2018 12:40:01 +0000 (UTC)",CATEGORY_PROMOTIONS
Godrej Properties <newsletters@shopatbest.com>,"2,3,4 BHK premium residences at Mulund Thane Circle","Wed, 16 May 2018 17:07:32 +0530",CATEGORY_PROMOTIONS
Swiggy <Social@swiggy.in>,"👀Lakshay Bhambri, we've got the Scoop on your neighbours most-ordered restaurant & dish!","Wed, 16 May 2018 11:46:16 +0000 (UTC)",CATEGORY_PROMOTIONS
VedantuClasses <newsletters@shopatbest.com>,"Crack IIT JEE Physics, Register Here Today","Wed, 16 May 2018 16:22:59 +0530",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Lightning deals | Summer Sale,"Wed, 16 May 2018 10:51:24 +0000",CATEGORY_PROMOTIONS
Melorra Jewellery <newsletters@shopatbest.com>,A Special Gift For You,"Wed, 16 May 2018 16:05:56 +0530",CATEGORY_PROMOTIONS
GoAir <seats@e.gogroup.co.in>,"#LowFareWednesday is here, fares starting at Rs. 1892*!","Wed, 16 May 2018 13:52:13 +0530",CATEGORY_PROMOTIONS
Shrenik Kuwad <sk@dscongress.co.in>,Deadline today hands-on for Machine Learning to Deep Learning,"Wed, 16 May 2018 09:21:25 +0000",CATEGORY_PROMOTIONS
Flipkart <mail@flipkartpromotions.com>,Help us with your feedback,"Wed, 16 May 2018 08:56:15 +0000 (UTC)",CATEGORY_PROMOTIONS
Monster Jobs <jobmessenger@monsterindia.com>,"Lakshay, Top matching jobs for Software Engineer/ Programmer, Fresher",16 May 2018 05:53:12 -0000,CATEGORY_PROMOTIONS
TalentGen Advisory LLP <shashank.malviyadGFsZW50Z2VuLmlu@naukri.com>,Job | Executive Sales - Building Material Industry,"Wed, 16 May 2018 11:08:55 +0530",CATEGORY_PROMOTIONS
Codecademy <learn@codecademy.com>,Start coding with the fastest growing programming language,"Wed, 16 May 2018 03:55:24 +0000 (UTC)",CATEGORY_PROMOTIONS
Flipkart <mail@flipkartletters.com>,Last Day of Big Shopping Days! Best Offers Running Out 👉,"Wed, 16 May 2018 01:56:09 +0000 (UTC)",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Last day of Summer Sale,"Wed, 16 May 2018 01:17:04 +0000",CATEGORY_PROMOTIONS
TechGig Exclusive <jobs@techgig.com>,"IT companies, look who is taking away your engineers | Accenture Placement Interview Test",16 May 2018 06:08:58 +0530,CATEGORY_PROMOTIONS
EBOOKLOVERS <mail@ebooklovers.com>,Free & Cheap Ebooks! - May 15 - 2018,"Tue, 15 May 2018 21:59:21 +0000",CATEGORY_PROMOTIONS
Flipkart <mail@flipkartletters.com>,🔥 HOTTEST DEALS 🔥 Of Big Shopping Days!,"Tue, 15 May 2018 18:04:35 +0000 (UTC)",CATEGORY_PROMOTIONS
Udacity India <india@udacity.com>,Discover secret to lifelong success - 20% off on Nanodegree Programs,"Tue, 15 May 2018 14:17:24 +0000 (UTC)",CATEGORY_PROMOTIONS
Swiggy <Social@swiggy.in>,"Make every delivery count, Bangalore!","Tue, 15 May 2018 13:11:36 +0000 (UTC)",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Spotlight Deals | Summer Sale,"Tue, 15 May 2018 12:25:53 +0000",CATEGORY_PROMOTIONS
Paytm <mail@info.paytm.com>,"Back to School, Back with a Bang!","Tue, 15 May 2018 11:34:26 +0000 (UTC)",CATEGORY_PROMOTIONS
ShopClues <info@offers.shopcluesmail.com>,Mid-Month Price Drop! Sale Starting @ Rs.79,"Tue, 15 May 2018 11:31:48 -0000",CATEGORY_PROMOTIONS
Mahindra <newsletters@shopatbest.com>,"Hi Dear, Drive Electric as your next car","Tue, 15 May 2018 14:46:51 +0530",CATEGORY_PROMOTIONS
GoAir <seats@e.gogroup.co.in>,Enjoy value back worth more than ₹4000*,"Tue, 15 May 2018 11:32:58 +0530",CATEGORY_PROMOTIONS
ShopClues <no-reply@mail.shopcluescrm.com>,It’s a SALE-Storm!,"Tue, 15 May 2018 15:47:07 +0800",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Up to 70% off Home & Outdoors | Summer Sale,"Tue, 15 May 2018 07:29:17 +0000",CATEGORY_PROMOTIONS
"""cure.fit"" <marketing@curefit.com>","Fresh, Calorie-counted & Delicious meals from eat.fit","Tue, 15 May 2018 05:47:24 +0000",CATEGORY_PROMOTIONS
Pankaj Kumar <newsletter@journaldev.com>,[URGENT] - GDPR Compliance Request,"Tue, 15 May 2018 03:00:08 +0000",CATEGORY_PROMOTIONS
Flipkart <mail@flipkartletters.com>,"SUPER SAVERS👍under ₹99, ₹299 & more. You can't RESIST them for sure!","Tue, 15 May 2018 02:20:05 +0000 (UTC)",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Deals under Rs.499 | Summer Sale,"Tue, 15 May 2018 01:15:58 +0000",CATEGORY_PROMOTIONS
TechGig Exclusive <jobs@techgig.com>,Indian Techies to say goodbye to double-digit pay hikes | TCS Placement Interview Test,15 May 2018 06:14:28 +0530,CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Evergreen Casuals | Up to 50% off,"Tue, 15 May 2018 00:12:16 +0000",CATEGORY_PROMOTIONS
Flipkart <mail@flipkartletters.com>,✂️HALF PRICE! HALF PRICE! 😎🤗😉 #BigShoppingDays,"Mon, 14 May 2018 16:50:37 +0000 (UTC)",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Fashion Summer Sale : 50% - 80% off,"Mon, 14 May 2018 13:21:01 +0000",CATEGORY_PROMOTIONS
Fenesta Windows <newsletters@shopatbest.com>,Say No to High Electricity Bills with Fenesta,"Mon, 14 May 2018 15:13:10 +0530",CATEGORY_PROMOTIONS
GoAir <seats@e.gogroup.co.in>,Choose the skies to surprise!,"Mon, 14 May 2018 15:08:13 +0530",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>","Up to 40% off TVs, ACs, Fridges & more | Summer Sale","Mon, 14 May 2018 09:01:59 +0000",CATEGORY_PROMOTIONS
TechGig Latest News <technews@techgig.com>,H-1B effect: Over 93% of employed H-4 holders are Indian nationals | Indian IT industry to create 1 lakh new jobs this year,14 May 2018 12:47:17 +0530,CATEGORY_PROMOTIONS
Jahnvi Thakkar <info@bellawardmail.com>,Join hands-on Workshop from Machine Learning to Deep Learning,"Mon, 14 May 2018 07:54:46 +0000",CATEGORY_PROMOTIONS
Amazon Prime Music <no-reply@amazon.in>,Welcome to Amazon Prime Music: Get Started.,"Mon, 14 May 2018 07:57:00 +0000",CATEGORY_PROMOTIONS
Reshu Garg <newsletters@shopatbest.com>,Reach Potential customers across India,"Mon, 14 May 2018 11:53:33 +0530",CATEGORY_PROMOTIONS
"""cure.fit"" <marketing@curefit.com>",Wipe those Monday blues with Eat.fit!,"Mon, 14 May 2018 06:51:30 +0000",CATEGORY_PROMOTIONS
Pankaj Kumar <newsletter@journaldev.com>,{Final Call} - Udemy Lowest Price Deal will be gone soon,"Mon, 14 May 2018 05:33:51 +0000",CATEGORY_PROMOTIONS
Coursera <no-reply@m.mail.coursera.org>,Courses Moms Love,"Mon, 14 May 2018 03:28:43 +0000",CATEGORY_PROMOTIONS
Flipkart <mail@flipkartletters.com>,D.E.A.L.S at Min.70% & more! Can't say NO to these 👉,"Mon, 14 May 2018 03:01:22 +0000 (UTC)",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Half Price Store | Summer Sale,"Mon, 14 May 2018 01:09:23 +0000",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",For all the music lovers | Amazon global store,"Mon, 14 May 2018 00:02:50 +0000",CATEGORY_PROMOTIONS
Flipkart <mail@flipkartletters.com>,"Deals UNDER 👇 ₹299! Unbelievable, right?","Sun, 13 May 2018 17:40:03 +0000 (UTC)",CATEGORY_PROMOTIONS
Swiggy <Social@swiggy.in>,"🍴Lakshay Bhambri, you've got  __ restaurants to order from! More Scoop inside.","Sun, 13 May 2018 15:01:33 +0000 (UTC)",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Countdown Deals : 8PM to midnight | Summer Sale,"Sun, 13 May 2018 14:04:08 +0000",CATEGORY_PROMOTIONS
Udacity India <india@udacity.com>,Discover Future with Machine Learning - 20% off + free Amazon Echo Dot on graduation,"Sun, 13 May 2018 13:57:22 +0000 (UTC)",CATEGORY_PROMOTIONS
ShopClues <info@offers.shopcluesmail.com>,Ghar Maange More! Starting @ Rs.99,"Sun, 13 May 2018 12:13:25 -0000",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Up to 50% off Electronics | Summer Sale,"Sun, 13 May 2018 07:03:14 +0000",CATEGORY_PROMOTIONS
Paytm <mail@info.paytm.com>,Keep Calm & Ride On...,"Sun, 13 May 2018 06:16:08 +0000 (UTC)",CATEGORY_PROMOTIONS
Freshers Placement Test <assessment@techgig.com>,[LATEST] Check Your Knowledge With TCS Interview Quiz 2017-18,13 May 2018 09:05:21 +0530,CATEGORY_PROMOTIONS
Flipkart <mail@flipkartletters.com>,👑HERO OFFERS👑of Big Shopping Days!,"Sun, 13 May 2018 01:18:02 +0000 (UTC)",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Up to 40% off mobiles | Summer Sale is live,"Sun, 13 May 2018 00:38:58 +0000",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",For jaw dropping beauty - International beauty essentials from Amazon Global Store,"Sun, 13 May 2018 00:14:37 +0000",CATEGORY_PROMOTIONS
EBOOKLOVERS <mail@ebooklovers.com>,Free & Cheap Ebooks! - May 12- 2018,"Sat, 12 May 2018 22:11:31 +0000",CATEGORY_PROMOTIONS
Udacity India <india@udacity.com>,Launch your career in Machine Learning - 20% off + Free Amazon Echo Dot,"Sat, 12 May 2018 15:06:49 +0000 (UTC)",CATEGORY_PROMOTIONS
Myntra <support@myntra.com>,It's Getting Hotter At Midsummer Madness,"Sat, 12 May 2018 19:08:14 +0530",CATEGORY_PROMOTIONS
"""Amazon.in"" <store-news@amazon.in>",Deals start midnight tonight | Summer Sale,"Sat, 12 May 2018 12:29:08 +0000",CATEGORY_PROMOTIONS
